               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.063125,            0.035245,            0.047548,              0.5752,             0.54096,             0.53908,              0.2944,            0.042881,               0.018,            0.022176,            0.070035,           0.0033294,           0.0033294
                   1,            0.048251,            0.031989,            0.023312,             0.58424,             0.52892,             0.54664,              0.3033,            0.042925,            0.019095,            0.016251,            0.039705,            0.006333,            0.006333
                   2,            0.047059,            0.033158,            0.022384,             0.52177,             0.46404,              0.4577,             0.24851,             0.04376,            0.021064,            0.019849,           0.0090454,           0.0090065,           0.0090065
                   3,            0.046751,            0.035673,            0.024528,              0.4859,             0.42865,             0.41103,             0.21758,            0.044508,            0.021703,            0.020746,            0.008515,            0.008515,            0.008515
                   4,             0.04604,            0.035669,            0.024173,             0.53598,             0.47286,             0.46221,             0.25211,             0.04272,            0.021475,            0.018381,            0.008515,            0.008515,            0.008515
                   5,            0.044851,            0.034991,             0.02233,             0.55919,             0.49095,             0.48713,             0.26864,            0.041969,            0.021376,            0.018074,             0.00802,             0.00802,             0.00802
                   6,            0.043346,            0.034824,            0.021013,             0.56603,             0.51261,             0.51174,             0.29326,            0.041436,            0.020784,            0.015747,            0.007525,            0.007525,            0.007525
                   7,            0.042423,            0.034068,            0.019681,             0.59056,             0.52301,             0.53487,             0.31628,            0.040076,            0.020565,            0.015488,             0.00703,             0.00703,             0.00703
                   8,            0.041362,            0.034047,            0.018665,             0.57957,             0.54374,             0.54946,             0.32988,            0.039238,             0.02016,            0.014509,            0.006535,            0.006535,            0.006535
                   9,            0.040514,            0.033458,            0.017454,             0.61506,             0.54519,             0.55986,             0.33755,            0.038098,            0.020255,            0.013529,             0.00604,             0.00604,             0.00604
                  10,            0.039815,            0.033147,             0.01648,             0.62995,             0.55529,             0.57246,             0.35202,            0.037932,            0.019699,            0.013587,            0.005545,            0.005545,            0.005545
                  11,            0.038883,            0.032343,            0.015954,             0.64086,             0.55948,             0.58621,             0.36542,            0.036989,             0.01966,            0.012481,             0.00505,             0.00505,             0.00505
                  12,            0.038034,             0.03191,            0.014373,             0.64689,             0.57944,             0.60256,             0.38007,            0.036544,            0.019498,            0.012225,            0.004555,            0.004555,            0.004555
                  13,            0.037056,            0.031601,             0.01383,             0.65575,             0.56434,              0.6023,             0.38297,            0.036047,            0.019614,            0.012257,             0.00406,             0.00406,             0.00406
                  14,            0.036496,            0.031503,            0.013116,             0.64319,             0.58366,             0.60969,             0.39036,            0.035809,            0.019346,            0.011816,            0.003565,            0.003565,            0.003565
                  15,            0.035856,            0.031066,            0.012133,             0.65568,             0.59715,             0.62575,             0.40671,            0.035111,            0.019225,            0.010953,             0.00307,             0.00307,             0.00307
                  16,            0.035233,            0.030874,            0.011589,             0.66819,             0.61005,             0.64382,             0.42385,            0.034643,            0.018996,            0.010656,            0.002575,            0.002575,            0.002575
                  17,            0.034216,             0.02997,            0.011133,             0.69163,             0.60156,             0.64541,             0.42381,            0.034248,            0.018938,            0.010618,             0.00208,             0.00208,             0.00208
                  18,            0.033779,            0.030103,            0.010369,             0.68221,             0.61101,             0.65533,             0.43396,            0.033995,             0.01882,            0.010363,            0.001585,            0.001585,            0.001585
                  19,            0.033102,            0.029786,            0.010122,             0.69351,             0.61261,             0.65818,             0.44053,            0.033889,            0.018788,            0.010463,             0.00109,             0.00109,             0.00109
